CMDLINE /mnt/data/apps/miniconda3/envs/radar_sort/bin/python3.11 main_pipeline.py --no-skip-existing
MEM 1350.507812 1753852797.3744
MEM 1350.507812 1753852797.4747
MEM 1350.507812 1753852797.5751
MEM 1350.507812 1753852797.6756
MEM 1350.632812 1753852797.7762
MEM 1363.257812 1753852797.8767
MEM 1363.257812 1753852797.9772
MEM 1363.257812 1753852798.0777
MEM 1363.257812 1753852798.1783
MEM 1363.257812 1753852798.2788
MEM 1375.882812 1753852798.3794
MEM 1375.882812 1753852798.4800
MEM 1375.882812 1753852798.5805
MEM 1375.882812 1753852798.6811
MEM 1375.882812 1753852798.7817
MEM 1388.632812 1753852798.8822
MEM 1388.632812 1753852798.9827
MEM 1388.632812 1753852799.0833
MEM 1388.632812 1753852799.1839
MEM 1388.632812 1753852799.2842
MEM 1388.632812 1753852799.3845
MEM 1388.710938 1753852799.4848
MEM 1388.710938 1753852799.5853
MEM 1388.710938 1753852799.6859
MEM 1388.710938 1753852799.7866
MEM 1401.335938 1753852799.8871
MEM 1413.960938 1753852799.9877
MEM 1413.960938 1753852800.0882
MEM 1413.960938 1753852800.1888
MEM 1413.960938 1753852800.2892
MEM 1413.960938 1753852800.3897
MEM 1426.585938 1753852800.4903
MEM 1426.585938 1753852800.5910
MEM 1426.585938 1753852800.6916
MEM 1426.585938 1753852800.7921
MEM 1426.710938 1753852800.8926
MEM 1439.335938 1753852800.9931
MEM 1439.335938 1753852801.0936
MEM 1439.335938 1753852801.1942
MEM 1439.335938 1753852801.2947
MEM 1439.335938 1753852801.3953
MEM 1451.960938 1753852801.4959
MEM 1451.960938 1753852801.5965
MEM 1451.960938 1753852801.6971
MEM 1451.960938 1753852801.7976
MEM 1464.585938 1753852801.8981
MEM 1464.585938 1753852801.9986
MEM 1464.585938 1753852802.0992
MEM 1464.585938 1753852802.1996
MEM 1464.585938 1753852802.3001
MEM 1464.710938 1753852802.4007
MEM 1477.335938 1753852802.5013
MEM 1477.335938 1753852802.6018
MEM 1477.335938 1753852802.7024
MEM 1477.335938 1753852802.8029
MEM 1480.460938 1753852802.9034
MEM 1489.710938 1753852803.0039
MEM 1502.335938 1753852803.1045
MEM 1502.335938 1753852803.2051
MEM 1502.335938 1753852803.3055
MEM 1502.335938 1753852803.4061
MEM 1502.460938 1753852803.5066
MEM 1502.460938 1753852803.6070
MEM 1515.085938 1753852803.7075
MEM 1515.085938 1753852803.8080
MEM 1515.085938 1753852803.9085
MEM 1515.085938 1753852804.0090
MEM 1515.085938 1753852804.1095
MEM 1515.085938 1753852804.2100
MEM 1515.085938 1753852804.3105
MEM 1527.710938 1753852804.4111
MEM 1527.710938 1753852804.5116
MEM 1527.710938 1753852804.6121
MEM 1527.710938 1753852804.7127
MEM 1527.710938 1753852804.8131
MEM 1527.710938 1753852804.9138
MEM 1527.710938 1753852805.0143
MEM 1540.210938 1753852805.1148
MEM 1540.210938 1753852805.2153
MEM 1540.210938 1753852805.3158
MEM 1540.210938 1753852805.4164
MEM 1540.210938 1753852805.5168
MEM 1540.335938 1753852805.6173
MEM 1540.335938 1753852805.7177
MEM 1552.960938 1753852805.8181
MEM 1552.960938 1753852805.9186
